,classic_mean,classic_std,eigvector_mean,eigvector_std,eigvalue_mean,eigvalue_std,sparse_mean,sparse_std
20,0.8634223085641861,0.004055840863480585,0.856343315243721,0.0038699707328125744,0.5625629317760468,0.025677182533985578,0.5104850268363953,0.04103879493270567
50,0.871986762881279,0.003821883568259019,0.8663519960641861,0.0032311722379972786,0.6444715702533722,0.015506354940649997,0.5598404973745346,0.028833868117625224
100,0.8754405373334885,0.003267309589135224,0.8724186193943023,0.00294336752695442,0.6907302534580231,0.01169607540601458,0.5977029067277908,0.023352693842394395
200,0.8776160991191864,0.003322607745212499,0.8783767330646515,0.003025652319548703,0.7289724367856979,0.007428800119734944,0.6420236527919769,0.01736237133435705
300,0.8793001276254654,0.0033386629216736337,0.8814756935834884,0.0031197296315469436,0.7506456142663955,0.007388751978585248,0.6680881077051163,0.013934032547012868
400,0.8785687935352325,0.003773946531211611,0.8834092891216279,0.003039895875638727,0.7661794680356979,0.006393626424430282,0.6839561623334884,0.014144573962342085
500,0.8794303387403488,0.0036750927808249867,0.8833995199203492,0.003478965703199375,0.7761707872152328,0.005445754325358751,0.6999218744039536,0.012756486659149432
600,0.879778648018837,0.004073616006922779,0.8843815106153489,0.003246626834882307,0.7845399338006973,0.004848822227625151,0.7081369370222091,0.012761459587699007
700,0.8808723962306977,0.003815797231324992,0.8854448789358139,0.0033019872725524872,0.7909863269329072,0.004544535698090236,0.717852646112442,0.010644061504890884
800,0.8808973562717438,0.003691502968094826,0.885879989862442,0.0035598226451438657,0.7957400172948838,0.0042027225173515825,0.7262792962789536,0.011138409986535995
900,0.8809266513586045,0.003540858349661521,0.886580947637558,0.003078515895905472,0.7998752170801162,0.0037823348654941204,0.7295431828498841,0.010297018796701366
1000,0.8819683134555817,0.0036698618235654307,0.8867122375965119,0.002975059425266208,0.8048155409097671,0.0039082397479241375,0.7367003029584884,0.010110356334768002
1100,0.8819227403402329,0.0036773224402438364,0.8869878500699997,0.0035205716917966483,0.8071799075603485,0.0037018683141612162,0.7424175351858139,0.011360694612449544
1200,0.8823502624034881,0.003658635864586701,0.8874283862113953,0.0034846098504935355,0.8106499588489533,0.003767652190478422,0.7450249546766281,0.009955895735508782
1300,0.8823697912693024,0.003863691709029514,0.8872178840637207,0.003383894724924321,0.8126334655284881,0.003278030585090963,0.7500217026472091,0.010717664518208459
1400,0.8825108510255814,0.003370922902049618,0.8876095944643021,0.003953919274187184,0.8150792115926743,0.0030826451829483064,0.754301210641861,0.009209502939321042
1500,0.8822612845897675,0.003826450835664506,0.8876063358783722,0.0029594921998871274,0.8172395849227905,0.003420248965011882,0.7559418416023255,0.008082132433957716
1600,0.8831282532215119,0.00345171377370087,0.8877343738079071,0.003332960602796507,0.8195041227340698,0.0032468845544256185,0.7603852015733719,0.008553323898128106
1700,0.8831542980670929,0.003475179742742166,0.8878417980670928,0.0037444419492765574,0.8201160991191864,0.003302781519774236,0.7635329842567444,0.008245864773916518
1800,0.8833485245704651,0.0037330989503861233,0.8871647143363952,0.004043139185447223,0.8219314235448837,0.0027509078313848454,0.763524305820465,0.00893052874640274
1900,0.8840494775772094,0.0032103654025900873,0.8870518672466278,0.003871085709914823,0.8235416644811631,0.0033644068893938055,0.7664952248334884,0.008582083669351358
2000,0.883875868320465,0.0033099880138570755,0.8877256959676743,0.003262655967294519,0.8247254794836044,0.0032162874512559557,0.7712326389551163,0.008162147106174323
